"CODE","DESCRIPTION"
"INSERT_PROFILE","Add a new Profile"
"INSERT_USER","Add a new User"
"AMEND_PROFILE","Amend an existing Profile"
"AMEND_USER","Amend an existing User"
"CHANGE_PWD","Change another User's password"
"DELETE_PROFILE","Delete a Profile"
"DELETE_USER","Delete a User"
"DISABLE_USER","Disable a User"
"ENABLE_USER","Enable a User"
"EXPIRE_PWD","Expire another User's password"
